"KEY","EN","BG","ESP"
"STR_KEYED_IN","Keyed In:","Включени:","Bloqueado:"
"STR_TOTAL_OUT","Total OUT:","Общо изкарани:","Total SALIDA:"
"STR_HAND_PAID_CANCELLED_CREDITS","Hand Paid Cancelled Credits:","Ръчно платени анулирани кредити:","Créditos Cancelados Pagados en Mano:"
"STR_CANCELLED_CREDITS","Cancelled Credits:","Анулирани кредити:","Créditos Cancelados:"
"STR_PROGR_JACKPOT","Progr. Jackpot:","Прог. Джакпот:","Progr. Jackpot:"
"STR_PROGR_JACKPOT_HITS","Progr. Jackpot Hits:","Попадения на Прог. Джакпот:","Progr. Jackpots Conseguidos:"
"STR_GAMES","Games:","Игри:","Juegos:"
"STR_COUNTERS_POSITION","COUNTERS POSITION","ПОЗИЦИЯ НА БРОЯЧИ","POSICIÓN DE CONTADORES"
"STR_ALL_TO_NONE","ALL TO NONE","ИЗКЛЮЧИ ВСИЧКИ",""
"STR_ONE_TICK_PER_EVENT","1 tick per event","1 отметка за всяко събитие","1 tick por evento"
"STR_ONE_TICK_PER","1 tick per %1","1 отметка за %1","1 tick por %1"
"STR_MECHANICAL_METER_1","Mechanical Meter 1 Scale:","Механичен метър 1 Мащаб:","Escala Medidor Mecánico 1:"
"STR_MECHANICAL_METER_2","Mechanical Meter 2 Scale:","Механичен метър 2 Мащаб:","Escala Medidor Mecánico 2:"
"STR_MECHANICAL_METER_3","Mechanical Meter 3 Scale:","Механичен метър 3 Мащаб:","Escala Medidor Mecánico 3:"
"STR_MECHANICAL_METER_4","Mechanical Meter 4 Scale:","Механичен метър 4 Мащаб:","Escala Medidor Mecánico 4:"
"STR_MECHANICAL_METER_5","Mechanical Meter 5 Scale:","Механичен метър 5 Мащаб:","Escala Medidor Mecánico 5:"
"STR_MECHANICAL_METER_6","Mechanical Meter 6 Scale:","Механичен метър 6 Мащаб:","Escala Medidor Mecánico 6:"
,,,
"STR_0_NO_LIMIT","0 = No Limit","0 = Без ограничение","0 = Sin Límite"
"STR_CREDIT_LIMIT","Credit Limit","Кредитен Лимит","Límite de Crédito"
"STR_PRINTER_LIMIT","Printer Limit","Лимит на Принтера","Límite de Impresión"
"STR_JACKPOT_LIMIT","Jackpot Limit","Джакпот Лимит","Límite de Jackpot"
"STR_UPPER_JACKPOT_LIMIT","Upper Jackpot Limit","Горна граница на Джакпота Лимита","Límite de Jackpot Superior"
"STR_CELEBRATION_LOCK","Celebration Lock",,"Bloqueo de Celebración"
"STR_JACKPOT_LOCK","Jackpot Lock",,"Bloqueo de Jackpot"
"STR_HOPPER_LIMIT","Hopper Limit","Лимит на Хопъра","Límite de Tolva"
"STR_ATTENDANT_LIMIT","Attendant Limit","Лимит на Крупието","Límite de Asistente"
"STR_ATTENDANT_MULTIPLIER","Attendant hold button B1 adds","Задържайки бутон B1 в калкулатора се добавят пари","Mantener botón B1 Asistente añade"
"STR_RAW_CREDIT_LIMIT","Raw Credit Limit",,"Límite de Crédito Bruto"
"STR_ACCEPTOR_LIMIT","Acceptor Limit",,"Límite de Admisor"
"STR_BILL_ACCEPTOR_LIMIT","Bill Acceptor Limit","Лимит на Апарата за Банкноти","Límite de Admisor de Billetes"
"STR_TICKETS_LIMIT","Tickets In Limit","Лимит на Билетите:","Límite de Entrada de Tickets"
"STR_LESS_OR_EQUAL","%1 <= %2","%1 <= %2","%1 <= %2"
"STR_IS_INFINITE","%1 is infinite","%1 е неограничен","%1 es infinito"
"STR_IS_VALUE","%1 is %2","%1 e %2","%1 es %2"
"STR_1_COIN","1 coin","1 монета","1 moneda"
"STR_ZERO","Zero","Нула","Cero"
,,,
"STR_MACHINE_ID","Machine ID:","ID на машината","ID de Máquina:"
"STR_ASSET_ID","SAS Asset ID:",,"ID de Valor SAS:"
,,,
"STR_BILL_VALIDATOR_NOT_RESPONDING","Attempt to get data from Bill Validator failed (not responding)","Опитът да се получат данни от ""Банкното-Валидарот"" е неуспешен (не отговаря)","Intento de obtener información del Validador de Billetes fallido (no responde)"
"STR_BILL_VALIDATOR_WAITING","Waiting for data from Bill Validator... Please wait!","В очакване на данни от Банкното-Валидатора ... Моля, изчакайте!","Esperando información de Validador de Billetes... ¡Por favor, espere!"
"STR_BILL_VALIDATOR_CURRENCY_MISMATCH","Device/machine currency code mismatch. Machine code: %1 Device code: %2","Устройство/машина несъотвествие в кода на валутата. Код на машината: %1 Код на устройстово: %2","El código de divisa del dispositivo/máquina no coincide. Código de máquina: Código de dispositivo %1: % 2"
"STR_TICKET_COINCIDES","Ticket channel coincides with bill channel","Каналът на билетите съвпада с канала за банкноти","El canal del ticket coincide con el del billete"
"STR_BILL_VALIDATOR_CONFIRM","Please, confirm data received from Bill Validator","Моля, потвърдете данните, получени от Банкното-Валидатора","Por favor, confirme los datos recibidos Validador de Billetes"
"STR_BILL_VALIDATOR_UNKNOWN_CURRENCY","Device responded with unknown currency code","Устройството не разпознава валутния код","El dispositivo ha respondido cn un código de divisa desconocido"
"STR_BILL_VALIDATOR_WRONG_BILL_DENOMINATION","Device responded with wrong bill denomination value","Устройството не разпознава деноминацията на валутата","El dispositivo ha respondido con un valor de denominación de billete incorrecto"
"STR_BILL_VALIDATOR_UNKNOWN_ERROR","Unknown error occurred in Bill Validator","Непозната грешка в Банкното-Валидатора","Ha ocurrido un error desconocido en el Validador de Billetes"
,,,
"STR_BILL_VALIDATOR_CHECKING","Checking the bill validator. Please wait...","Проверка на банкното-валидатора. Моля изчакайте …","Comprobando el validador de billetes. Por favor, espere..."
"STR_SET_TIME_ERROR","Only superuser can set system time!","Само суперпотребител може да настрой времето!","¡Solo un superusuario puede ajustar la hora del sistema!"
"STR_ERROR","Error message","Съобщение за грешка","Mensaje de error"
"STR_OK","OK","ОК","OK"
"STR_SAVE","SAVE","ЗАПИС","GUARDAR"
"STR_BACK","BACK","НАЗАД","VOLVER"
"STR_STYLE","STYLE","СТИЛ","ESTILO"
"STR_SCREENSHOT","SCREENSHOT","Eкранна снимка","Captura de pantalla"
,,,
"STR_MECH_COUNTERS_TEST","Mech Counters lamp","Лампа на механичните броячи","Lámpara de Contadores Mec."
"STR_LAMPS_TEST","Lamp Buttons Test","Тест на лампите на бутоните","Test de botones de lámpara"
"STR_LAMPS_L1","Button L1 Lamp:","Бутон L1 Лампа:","Lámpara de  Botón L1:"
"STR_LAMPS_L2","Button L2 Lamp:","Бутон L2 Лампа:","Lámpara de  Botón L2:"
"STR_LAMPS_L3","Button L3 Lamp:","Бутон L3 Лампа:","Lámpara de  Botón L3:"
"STR_LAMPS_L4","Button L4 Lamp:","Бутон L4 Лампа:","Lámpara de  Botón L4:"
"STR_LAMPS_L5","Button L5 Lamp:","Бутон L5 Лампа:","Lámpara de  Botón L5:"
"STR_LAMPS_B1","Button B1 Lamp:","Бутон B1 Лампа:","Lámpara de  Botón B1:"
"STR_LAMPS_B2","Button B2 Lamp:","Бутон B2 Лампа:","Lámpara de  Botón B2:"
"STR_LAMPS_B3","Button B3 Lamp:","Бутон B3 Лампа:","Lámpara de  Botón B3:"
"STR_LAMPS_B4","Button B4 Lamp:","Бутон B4 Лампа:","Lámpara de  Botón B4:"
"STR_LAMPS_B5","Button B5 Lamp:","Бутон B5 Лампа:","Lámpara de  Botón B5:"
"STR_LAMPS_CASH_OUT","Cash Out Lamp:","Лампа Изплащане:","Lámpara de Cobrar:"
"STR_LAMPS_SERVICE","Service Lamp:","Сервизна Лампа:","Lámpara de Servicio:"
"STR_LAMPS_SELECT_GAME","More Games Lamp:","Лампа за избор на игра:","Lámpara de Selección de Juego:"
"STR_LAMPS_AUTO_PLAY","Auto Play Lamp:","Лампа за автоматична игра:","Lámpara Auto Play:"
"STR_LAMPS_SELECT_LINES","Select Lines Lamp:","Лампа за избор на линия:","Lámpara de Selección de Línea:"
"STR_LAMPS_SELECT_BET","Select Bet Lamp:","Лампа за избор на залог:","Lámpara de Selección de Apuesta:"
"STR_LAMPS_TO_POINTS","To Points Lamp:",,"Lámpara de A Puntos:"
"STR_LAMPS_BET","Bet Lamp:","Лампа за залог","Lámpara de Apuesta:"
"STR_LAMPS_TO_BANK","To Bank Lamp:",,"Lámpara de A Banco:"
"STR_LAMPS_AUTOMATIC","Automatic Lamp:",,"Lámpara de Automatico:"
"STR_LAMPS_TAKE_WIN","Take Win Lamp:","Лампа за взимане на печалба:","Lámpara de Tomar Ganancia:"
"STR_LAMPS_START","Start Lamp:","Лампа за Старт:","Lámpara de Inicio:"
"STR_LAMPS_GAMBLE_SELECT_LINE","Select Lines Lamp:","Лампа за избор на линия:","Lámpara de Seleccionar Líneas:"
"STR_LAMPS_GAMBLE_SELECT_BET","Select Bet Lamp:","Лампа за избор на залог:","Lámpara de Seleccionar Apuesta:"
,,,
"STR_MOUNT_USB","Mount USB","Монтирано USB","Montar USB"
"STR_MOUNTING_USB","Mounting USB please wait.","Монтиране на USB моля изчакайте","Montando USB, por favor, espere"
"STR_USB_NOT_FOUND","Error! Proper USB flash drive not found!","Грешка! Подходящ USB  драйвер не е намерен!","¡Error! ¡Dispositivo USB adecuado no encontrado!"
"STR_CANT_MOUNT_USB","Error! Cannot mount USB","Грешка! USB не може да бъде монтирано","¡Error! No se pudo montar el USB"
"STR_DISMOUNT_PLEASE_WAIT","Dismounting please wait.","Демонтиране моля изчакайте.","Desmontando, por favor, espere..."
"STR_GAME_VERSION","Game Version: ","Версия на играта:","Versión del Juego:"
"STR_IMPORT","Import","Импортиране","Importar"
"STR_EXPORT","Export","Експортиране","Exportar"
"STR_FILE_TO_EXPORT","File to export: ","Файл за експортиране:","Archivo a exportar:"
"STR_FILE_TO_IMPORT","File to import: ","Файл за импортиране:","Archivo a importar:"
"STR_SERVICE_SETTINGS_FILES","Service Settings Files ","Файл за сервизни настройки","Archivos de Configuración de Servicio"
"STR_PDF_FILES","PDF Files ","PDF Файлове","Archivos PDF"
"STR_EXPORTED_UPDATE_FILES","Exported Update Files","Експортирани Файлове за Актуализация","Archivos Exportados para Actualizar"
"STR_ARE_YOU_SURE_IMPORT","Are you sure you wish to import these settings?","Сигурен ли сте че искате да импортирате тези настройки?","¿Está seguro de que quiere importar esta configuración?"
"STR_IMPORTING_SETTINGS","Importing settings: %1","Импортиране на настройки: %1","Importar configuración: %1"
"STR_EXPORTING_SETTINGS","Exporting settings: %1","Експортиране на настройки: %1","Exportar configuración: %1"
"STR_EXPORTING_ACCOUNTING","Exporting accounting: %1","Експортиране на отчета:% 1","Exportar contabilidad: %1"
"STR_IMPORT_FAIL","Setting cannot be imported.","",""
"STR_SETTINGS_IMPORTED_RESTART","%1 has been imported. Please restart the machine.","%1 беше импортиран. Моля рестартирайте машината.","%1 ha sido importado. Por favor, reinicie la máquina."
"STR_MARKET_SETTINGS_IMPORTED","%1 has been imported.","%1 беше импортиран.","%1 ha sido importado."
"STR_JACKPOT_ACTIVE_RESTART","Please restart the machine.","Моля рестартирайте машината.","Por favor, reinicie la máquina."
"STR_IMPORTING_FAILED","Error while importing file %1!","Грешка при импортиране на файл %1!","¡Error al importar el archivo %1!"
"STR_ONE_OR_MORE_SETTINGS_SET","You have saved at least one of the required parameters! Please clean NVRAM and try again.","Запаметили сте поне един от необходимите параметри! Моля нулирайте NVRAM и опитайте отново.","¡Ha guardado al menos uno de los parámetros solicitados! Por favor, limpie la NVRAM e inténtelo de nuevo."
"STR_SETTINGS_EXPORTED","%1 has been exported","%1 беше експортиран","%1 ha sido exportado."
"STR_EXPORT_FAILED","Error while exporting file %1!","Грешка при експортиране на файл %1!","¡Error al exportar el archivo %1!"
"STR_ARE_YOU_SURE_EXPORT","Are you sure you wish to overwrite this file?","Сигурен ли сте че искате да презапишите този файл?","¿Está seguro de que quiere sobrescribir este archivo?"
"STR_PDF_TITLE","Service Functions Data","Данни за сервизните функции","Datos de Funciones de Servicio"
"STR_PDF_COMMON_INFO","No: %1; Date: %2","No: %1; Дата: %2","Nº: %1; Fecha %2"
"STR_PDF_AUTHORIZATION_INFO","Time Left: %1 Day(s) %2 Hour(s)","Оставащо време: % Дни %2 Час",
"STR_PDF_TIME_LEFT","Time Left: No Limit","Оставащо време: Без ограничение",
"STR_VARIANT","Language Variant: ","Вариант за езика:","Variante de Idioma:"
,,,
"STR_REELS_FAST_STOP","Reels Fast Stop:","Бързо спиране на ролките:","Detención Rápida de Rodillos:"
"STR_GAME_SPEED","Game Speed:","Скорост на играта:","Velocidad de Juego:"
"STR_GAME_SPEED_STANDARD","Standard","Стандарт","Estándar"
"STR_GAME_SPEED_3_SEC","3 seconds","3 секунди","3 segundos"
"STR_GAME_SPEED_4_SEC","4 seconds","4 секунди","4 segundos"
"STR_GAME_SPEED_5_SEC","5 seconds","5 секунди","5 segundos"
"STR_GAME_SPEED_6_SEC","6 seconds","6 секунди","6 segundos"
"STR_FAST_TURBO_HINT","Set Reels Fast Stop:Enable and Game Speed:Standard to enable Fast/Turbo fields","",""
"STR_MAIN_GAME_FAST_TURBO_MODE","Main Game Fast/Turbo Mode:","",""
"STR_GAME_FAST_TURBO_MODE","Game Fast/Turbo Mode:","",""
"STR_AUTO_PLAY_FAST_TURBO_MODE","Auto Play Fast/Turbo Mode:","",""
"STR_GAME_FAST_TURBO_HINT","Set Reels Fast Stop:Enable and Game Speed:Standard to enable Fast/Turbo field","",""
,,,
"STR_SHOW_GAME_RATING","Show Game Rating:","Показване на рейтинга на играта:","Mostrar Valoración de Juego:"
"STR_BET_BUTTONS_PLAY","Bet Buttons:","Бутони за залагане:","Botones de Apuesta:"
"STR_GAME_SELECT_MARKER","Game Select Marker:","Маркер за избор на игра:","Marcador de Selección de Juego:"
"STR_PRODUCT_TYPE","Product Type:","Тип на продукта:","Tipo de Producto:"
"STR_HIDE_PANEL_FIELDS","Panel Fields:","Полета на панела:","Campos del Panel:"
"STR_THOUSAND_SEPARATOR","Thousand Separator:","Разделител за хилядни:","Separador de Miles:"
"STR_YES","Yes","Да","Sí"
"STR_NO","No","Не","No"
"STR_PLAY","Play","Играй","Jugar"
"STR_NOT_PLAY","Not Play","Не Играй","No Jugar"
"STR_MULTI_GAME","Multi game","Мултигейм","Multijuego"
"STR_SINGLE_GAME","Single game","Сингългейм","Juego Sencillo"
"STR_ALWAYS_SHOW","Always Show","Показвай винаги","Mostrar Siempre"
"STR_SHOW_HIDE","Show/Hide","Покажи/Скрий","Mostrar/Ocultar"
"STR_SEPARATOR_SPACE","Space","Интервал","Espacio"
"STR_SEPARATOR_COMMA","Comma","Запетая","Coma"
"STR_SEPARATOR_DOT","Dot","Точка","Punto"
"STR_CONFIRM","Are you sure?","Сигурен ли сте?","¿Está seguro?"
"STR_MIN","Min","Минимален","Min"
"STR_MAX","Max","Максимален","Max"
,,,
"STR_RESTART","Restart","Рестарт","Restart"
"STR_RESTART_COMMON_TEXT","Press OK to restart the machine","Натиснете ОК за да рестартирате машината","Pulse OK para reiniciar la máquina"
"STR_CONFIRM_TITLE","Confirm","Потвърдете","Confirmar"
"STR_EXIT_SF_CONFIRMATION_TEXT","Do you want to exit?","Искате ли да излезете?","¿quieres irte?"
,,,
"STR_PARAM_GREATER_THAN","greater than","по – голям от","mayor que"
"STR_PARAM_LESS_THAN","less than","по-малко от","menor que"
"STR_PARAM_EQUAL_TO","equal to","равно на","igual a"
,,,
"STR_GREEN","GREEN","ЗЕЛЕН","VERDE"
"STR_RED","RED","ЧЕРВЕН","ROJO"
"STR_YELLOW","YELLOW","ЖЪЛТ","AMARILLO"
"STR_BLUE","BLUE","СИН","AZUL"
"STR_BLACK","BLACK","ЧЕРЕН","NEGRO"
"STR_PURPLE","PURPLE","ЛИЛАВО","MORADO"
,,,
"STR_BONUS_AUTO_START_3_SEC","3 seconds","3 секунди","3 segundos"
"STR_BONUS_AUTO_START_5_SEC","5 seconds","5 секунди","5 segundos"
"STR_BONUS_AUTO_START_20_SEC","20 seconds","20 секунди","20 segundos"
"STR_BONUS_AUTO_START_60_SEC","60 seconds","60 секунди","60 segundos"
"STR_BONUS_AUTO_START_120_SEC","120 seconds","120 секунди","120 segundos"
,,,
"STR_LAST_100_GAMES","100 games","100 игри","100 juegos"
"STR_LAST_200_GAMES","200 games","200 игри","200 juegos"
"STR_LAST_300_GAMES","300 games","300 игри","300 juegos"
"STR_LAST_400_GAMES","400 games","400 игри","400 juegos"
"STR_LAST_500_GAMES","500 games","500 игри","500 juegos"
,,,
"STR_DAYS","days","дни","días"
,,,
"STR_ROULETTE_lAST_N_GAMES","Show statistics for: ","Показвай статистика за: ","Mostrar estadísticas para: "
,,,
"STR_ROULETTE_REPORT_GAME_START_ON_CYCLE_END","Report game start on cycle end:","",""
,,,
"STR_HOPPER_PAY_1_COIN","Press Button B1 to pay 1 coin.","Натиснете Бутон B1 да изплати една 1 монета.","Pulse el botón B1 para pagar 1 moneda."
"STR_HOPPER_PAY_10_COIN","Press Button B2 to pay 10 coins.","Натиснете Бутон B1 да изплати една 10 монети.","Pulse el botón B2 para pagar 10 monedas."
"STR_HOPPER_BUTTON_EMPTY","Press Button B3 in order to empty hopper.","Натиснете Бутон B3 за да изпразните хопъра.","Pulse el botón B3 para vaciar la tolva."
"STR_HOPPER_NUMBER_OF_COINS","Number of coins paid: ","Брой изплатени монети:","Número de monedas pagadas:"
"STR_HOPPER_NOT_SWITCHED_TO_DIAGNOSTIC_MODE","Hopper could not be switched to diagnostic mode!","Хопърът не може да бъде превключен в диагностичен режим!","¡No se ha podido cambiar la tolva a modo diagnóstico!"
"STR_HOPPER_NOT_SWITCHED_TO_NON_DIAGNOSTIC_MODE","Hopper could not be switched to nondiagnostic mode!","Хопърът не може да бъде превключен в недиагностичен режим!","¡No se ha podido cambiar la tolva a modo de no-diagnóstico!"
"STR_HOPPER_COULD_NOT_START_PAYMENT","Error. Could not start payment.","Грешка. Плащането не можа да започне.","Error. No se pudo iniciar el pago."
"STR_HOPPER_COIN_OUT_TILT_ERROR","Coin Out Tilt Error!",,"¡Error de Inclinación Salida de Moneda!"
"STR_HOPPER_COIN_OUT_UNJAM_EVENT","Coin Out Unjam Event!",,"¡Evento de Desatranque en Salida de Moneda!"
"STR_HOPPER_FULL_ERROR","Hopper Full Error!","Грешка! Хопъра е пълен.","¡Error de Tolva Llena!"
"STR_HOPPER_NOT_FULL_ERROR","Hopper Not Full!","Хопърът не е пълен!","¡Tolva No Llena!"
"STR_HOPPER_EMPTY","Hopper Empty!","Хопърът е празен!","¡Tolva Vacía!"
"STR_HOPPER_GENERAL_ERROR","General Hopper Error!","Главна грешка в Хопъра!","¡Error General de Tolva!"
"STR_HOPPER_EXTRA_COIN_PAID_ERROR","Extra Coin Paid Error!","Грешка при изплащане на допълнителна монета!","¡Error de Moneda Extra Pagada!"
"STR_HOPPER_WRONG_COIN_JAM_ERROR","Wrong Coin Jam Error (Coin Out Tilt)!",,"¡Error de Atasco de Moneda Incorrecta (Inclinación de Salida de Moneda)!"
"STR_HOPPER_STOPPED_ERROR","Hopper Stopped Error!","Грешка! Хопъра е спрял!","¡Error de Tolva Detenida!"
"STR_HOPPER_WRONG_UNPROCESSED_EVENT_ERROR","Wrong Unprocessed Event Error!",,"¡Error de Evento Incorrecto No Procesado!"
"STR_HOPPER_FATAL_ERROR_PAYOUT_REQUEST","FATAL ERROR. Payout request while payout in progress.","ФАТАЛНА ГРЕШКА. Заявка за изплащане докато е в процес друго изплащане.","ERROR FALTA. Pago solicitado durante pago en proceso."
"STR_HOPPER_EXTRA_COIN_ERROR","Extra coin paid error!","Грешка при изплащане на допълнителна монета!","¡Error de Moneda extra pagada!"
"STR_HOPPER_COULD_NOT_GET_HOPPER_LEVEL","Error. Could not get hopper level.","Грешка. Не може да се вземе нивото на Хопъра","Error. No se pudo obtener el nivel de la tolva."
"STR_HOPPER_IS_FULL","Hopper Full. Could Not Set Divertor To Hopper.",,"Tolva Llena. No Se Pudo Ajustar el Desviador a la Tolva."
"STR_HOPPER_COULD_NOT_SET_DIVERTOR_TO_HOPPER","Error. Could Not Set Divertor To Hopper.",,"Error. No Se Pudo Ajustar el Desviador a la Tolva."
"STR_HOPPER_COULD_NOT_SET_DIVERTOR_TO_DROPBOX","Error. Could Not Set Divertor To Drop Box.",,"Error. No Se Pudo Ajustar el Desviador a Caja de Caída."
,,,
"STR_COIN_ACCEPTOR_ENABLED","Coin Acceptor Test Enabled","Теста на апарата за монети е Включен","Test de Admisor de Moneda Activado"
"STR_COIN_ACCEPTOR_DISABLED","Coin Acceptor Test Disabled","Теста на апарата за монети е Изключен","Test de Admisor de Moneda Desactivado"
"STR_COIN_ACCEPTOR_DIVERTOR_TO_HOPPER","Divertor Set to Hopper",,"Desviador Ajustado a la Tolva"
"STR_COIN_ACCEPTOR_DIVERTOR_TO_DROP","Divertor Set to Drop",,"Desviador Ajustado a Caída"
"STR_COIN_ACCEPTOR_NOT_SWITCHED_TO_DIAGNOSTIC_MODE","Coin acceptor could not be switched to diagnostic mode!","Апарата за монети не може да се превключи в диагностичен режим!","¡No se ha podido cambiar el admisor de moneda a modo diagnóstico!"
"STR_COIN_ACCEPTOR_NOT_SWITCHED_TO_NON_DIAGNOSTIC_MODE","Coin acceptor could not be switched to nondiagnostic mode!","Апарата за монети не може да превключи към не диагностициращ режим!","¡No se ha podido cambiar el admisor de moneda a modo de no-diagnóstico!"
"STR_COIN_ACCEPTOR_STUCK_COIN_ERROR","Coin stuck error","Грешка! Заседнала монета","Error de moneda atascada"
"STR_COIN_ACCEPTOR_WRONG_COIN_ERROR","Wrong coin in error","Грешка! Неправилна монета","Error de moneda introducida incorrecta"
"STR_COIN_ACCEPTOR_UNSTUCK_COIN","Coin Unstuck!","Монетата се разхлаби!","¡Moneda Desatascada!"
"STR_COIN_ACCEPTOR_IN_TILT_COIN_ERROR","Coin in tilt error!",,"¡Error de inclinación en entrada de moneda!"
"STR_COIN_ACCEPTOR_DISCONNECTED","Coin acceptor disconnected!","Приемането на монети е прекъснато!","¡Admisor de moneda desconectado!"
"STR_COIN_ACCEPTOR_CONNECTED","Coin acceptor connected!","Приемането на монети е възстановено!","¡Admisor de moneda conectado!"
"STR_COIN_ACCEPTOR_DIVERTOR_MALFUNCTION","Divertor malfunction error!","Грешка! Повреда в превключвателя!","¡Error de mal funcionamiento de desviador!"
"STR_COIN_ACCEPTOR_DIVERTOR_ACTUATED","Divertor actuated!","Превключвателя проработи!","¡Desviador accionado!"
"STR_COIN_ACCEPTOR_HOPPER_IS_FULL","WARNING: Hopper Full. Divertor Set To Drop Box Automatically.","ВНИМАНИЕ: Хопърът е пълен. Превключвателя ще изкара кутията автоматично.","PELIGRO: Tolva Llena. Desviador Ajustado Automáticamente a Caja de Caída."
"STR_COIN_ACCEPTOR_NUMBER_OF_COINS","Number of coins accepted: ","Брой на приетите монети:","Número de monedas aceptadas:"
"STR_COIN_ACCEPTOR_TOTAL_AMOUNT","Total amount accepted: ","Total amount accepted: ","Importe total aceptado:"
,,,
"STR_PRINTER_INFO_TEST","Printer Test","Тест на Принтера","Test de Impresora"
"STR_PRINTER_TICKET_PRESS_BUTTON","Print void voucher","Отпечатай невалиден билет","Imprimir comprobante anulado"
"STR_PRINTER_VOID_TICKET","Printing void ticket...","Отпечатване на невалиден билет ...","Imprimiendo ticket nulo..."
"STR_PRINTER_VOID_TICKET_PRINTED","Void ticket printed.","Отпечата се празен билет.","Ticket nulo impreso."
"STR_VALIDATION_NUMBER_PRINTED_SUCCESSFULLY","Validation number printed successfully.","Коректно отпечатан валидационен код.","Número de validación impreso con éxito."
"STR_PRINTER_TEST_FAILED","Test Failed!","Тестът не бе успешен!","¡Test fallado!"
"STR_PRINTER_NOT_SWITCHED_TO_DIAGNOSTIC_MODE","Printer could not be switched to diagnostic mode!","Принтерът не може да бъде превключен в диагностичен режим!","¡No se ha podido cambiar la impresora a modo diagnóstico!"
"STR_PRINTER_NOT_SWITCHED_TO_NON_DIAGNOSTIC_MODE","Printer could not be switched to nondiagnostic mode!","Принтерът не може да бъде превключен в не диагностичен режим!","¡No se ha podido cambiar la impresora a modo de no-diagnóstico!"
"STR_PRINTER_PAPER_LOW","Printer paper low!","Недостатъчна хартия в принтера!","¡Papel de impresora bajo!"
"STR_PRINTER_PAPER_NOT_LOW","Printer paper not low!","Налична е хартия в принтера!","¡Papel de impresora no bajo!"
"STR_PRINTER_OUT_OF_PAPER","Printer out of paper error!","Грешка в принтера свързана с хартията!","¡Error de impresora sin papel!"
"STR_PRINTER_PAPER_INSERTED","Printer paper inserted!","Поставена е хартия в принтера!","¡Papel de impresora insertado!"
"STR_PRINTER_CARRIAGE_JAM_ERROR","Printer carriage jam error!","Грешка с касетата на принтера!","¡Error de atasco en vagón de impresora!"
"STR_PRINTER_CARRIAGE_UNJAM_ERROR","Printer carriage unjam!","Касетата на принтера е оправена!","¡Vagón de impresora desatascado!"
"STR_PRINTER_COMMUNICATION_ERROR","Printer communication error!","Грешка с комуникацията на принтера!","¡Error de comunicación de impresora!"
"STR_PRINTER_COMMUNICATION_RESUMED","Printer communication resumed!","Комуникацията с принтера е възстановена!","¡Comunicación de impresora restablecida!"
"STR_PRINTER_INTERNAL_ERROR","Printer internal error!","Грешка в хардуера на принтера!",""
"STR_PRINTER_INTERNAL_ERROR_FIXED","Printer internal error handled!","Грешка в хардуера на принтера е отстранена!",""
"STR_OLD_STATUS","Old status:","Предишен статус:","Аntiguo estado:"
"STR_PRINTER_STATUS_NONE","None","N/A","Ninguno"
"STR_PRINTER_STATUS_INITIAL","Initial","Начален","Inicial"
"STR_PRINTER_STATUS_WAITING","Waiting","Изчакване","Esperando"
"STR_PRINTER_STATUS_READY","Ready","Готов","Listo"
"STR_PRINTER_STATUS_ERROR","Error!","Грешка!","Error!"
,,,
"STR_BILL_VALIDATOR_NOT_SWITCHED_TO_DIAGNOSTIC_MODE","Bill validator could not be switched to diagnostic mode!","Банкното-Валидатора не може да бъде превключена в диагностичен режим!","¡No se ha podido cambiar el validador de billete a modo diagnóstico!"
"STR_BILL_VALIDATOR_NOT_SWITCHED_TO_NON_DIAGNOSTIC_MODE","Bill validator could not be switched to nondiagnostic mode!","Банкното-Валидатора не може да бъде превключена в режим без диагностика!","¡No se ha podido cambiar el validador de billete a modo de no-diagnóstico!"
"STR_BILL_VALIDATOR_NOT_ESTABLISH_CONNECTION","Could not establish a connection with bill validator!","Не можа да се установи връзка с банкното-валидатора!","¡No se ha podido establecer una conexión con el validador de billete!"
"STR_BILL_VALIDATOR_WAITING_RESPONSE","Waiting for Bill Validator Response. Please wait...","  Изчакване на отговор от банкното-валидатора. Моля изчакайте …","Esperando Respuesta del Validador de Billete. Por favor, espere..."
"STR_BILL_VALIDATOR_INSERT_BILL_OR_TICKET","Insert Bill or Ticket to start Test","Поставете банкнотата или билета, за да започнете теста","Introduzca Billete o Ticket para iniciar el Test"
"STR_BILL_VALIDATOR_INSERTED_BILL","The inserted bill is: %1 %2","Въведената банкнота е: %1 %2","El billete introducido es: %1 %2"
"STR_BILL_VALIDATOR_BARCODE","The bar code is: %1","Баркодът е: %1","El código de barras es: %1"
"STR_BILL_VALIDATOR_ERROR","Bill Validator Error!","Грешка при Банкното-Валидатора!","¡Error de Validador de Billetes!"
"STR_BILL_VALIDATOR_WAITING_CONFIRMATION","Waiting for Bill Validator Confirmation. Please wait...","Изчакването на потвърждение от банкното-валидатора. Моля изчакайте ...","Esperando Confirmación del Validador de Billete. Por favor, espere..."
"STR_BILL_VALIDATOR_BILL_RETURNED","Bill Returned!","Върната банкнота!","¡Billete Devuelto!"
"STR_BILL_VALIDATOR_COUNTERFEIT_DETECTED","Counterfeit Bill Detected!","Открита е Фалшива Банкнота!","¡Billete Falso Detectado!"
"STR_BILL_VALIDATOR_JAM_IN_ACCEPTOR","Jam in Acceptor!","Задръстване в приемника!","¡Atasco en Admisor!"
