"KEY","EN","BG","ESP","PT"
"Accounting","Contabilidad","Contabilidade"
"Enable/Disable Auto Mode","Activar/Desactivar Modo Auto","Ativar/Desativar Modo Automático"
"Start/Stop User Auto Rebet","Start/Stop Auto Reapuesta de Usuario","Iniciar/Parar Reaposta Automática do Usuário"
,,
" ",,
"LANGUAGES","IDIOMAS","IDIOMAS"
,,
"English","Inglés","inglês"
"Bulgarian","Búlgaro","búlgaro"
"Spanish","Español","espanhol"
"German","Alemán","alemão"
"Hungarian","Húngaro","húngaro"
"Dutch","Holandés","holandês"
"Chinese","China","chinês"
"Russian","Ruso","russo"
"Ukrainian","Ucranio","ucraniano"
"Macedonian","Macedonian","macedônio"
"Serbian","Serbian","sérvio"
"French","Francés","francês"
,,
"English","Inglés","inglês"
"Bulgarian","Búlgaro","búlgaro"
"Spanish","Español","espanhol"
"German","Alemán","alemão"
"Hungarian","Húngaro","húngaro"
"Dutch","Holandés","holandês"
"Chinese","China","chinês"
"Russian","Ruso:","russo"
"Ukrainian","Ucranio:","ucraniano"
"Macedonian","Macedonian","macedônio"
"Serbian","Serbian","sérvio"
"French","Francés","francês"
,,
"Default Language","Idioma por Defecto","Idioma Padrão"
,,
"FLAGS","BANDERAS","BANDEIRAS"
"United Kingdom","Reino Unido","Reino Unido"
"USA","USA","EUA"
"Ireland","Ireland","Irlanda"
"Bulgaria","Bulgaria","Bulgária"
"Spain","España","Espanha"
"Mexico","México","México"
"Colombia","Colombia","Colômbia"
"Argentina","Argentina","Argentina"
"Peru","Perú","Peru"
"Venezuela","Venezuela","Venezuela"
"Chile","Chile","Chile"
"Ecuador","Ecuador","Equador"
"Guatemala","Guatemala","Guatemala"
"Cuba","Cuba","Cuba"
"Bolivia","Bolivia","Bolívia"
"Dominican Republic","República Dominicana","República Dominicana"
"Honduras","Honduras","Honduras"
"Paraguay","Paraguay","Paraguai"
"El Salvador","El Salvador","El Salvador"
"Nicaragua","Nicaragua","Nicarágua"
"Costa Rica","Costa Rica","Costa Rica"
"Puerto Rico","Puerto Rico","Porto Rico"
"Panama","Panamá","Panamá"
"Uruguay","Uruguay","Uruguai"
"Equatorial Guinea","Guinea Ecuatorial","Guiné Equatorial"
"Germany","Alemania","Alemanha"
"Austria","Austria","Áustria"
"Switzerland","Suiza","Suíça"
"Luxembourg","Luxemburgo","Luxemburgo"
"Liechtenstein","Liechtenstein","Liechtenstein"
"Belgium","Bélgica","Bélgica"
"Hungary","Hungría","Hungria"
"The Netherlands","Países Bajos","Países Baixos"
"China","China","China"
"Russia","Rusia","Rússia"
"Ukraine","Ucrania","Ucrânia"
"Macedonia","Macedonia","Macedônia do Norte"
"Serbia","Serbia","Sérvia"
"France","Francia","França"
,,
"Tickets:","Tickets:","Bilhetes:"
"Coin In (Total Bet):","Entrada Moneda (Apuesta Total):","Entrada de Moeda (Aposta Total):"
"Coin Out (Not Hand Paid Win):","Salida Moneda (Premio sin Pago en Mano):","Saída de Moeda (Prêmio Não Pago Manualmente):"
"Jackpot (Hand Paid Win):","Jackpot (Premio con Pago en Mano):","Jackpot (Prêmio Pago Manualmente):"
"Total In:","Total Entrada:","Entrada Total:"
"Coin Drop:","Caída de Moneda:","Queda de Moeda:"
"Bills In:","Entrada Billetes:","Entrada de Notas:"
"Keyed In:","Bloqueado:","Digitado:"
"Total OUT:","Total SALIDA:","SAÍDA Total:"
"Hand Paid Cancelled Credits:","Créditos Cancelados Pagados en Mano:","Créditos Cancelados Pagos Manualmente:"
"Cancelled Credits:","Créditos Cancelados:","Créditos Cancelados:"
"Progr. Jackpot:","Progr. Jackpot:","Jackpot Progr.:"
"Progr. Jackpot Hits:","Progr. Jackpots Conseguidos:","Acertos de Jackpot Progr.:"
"Games:","Juegos:","Jogos:"
"COUNTERS POSITION","POSICIÓN DE CONTADORES","POSIÇÃO DOS CONTADORES"
"ALL TO NONE","TODOS A NADA","TUDO PARA NADA"
"1 tick per event","1 tick por evento","1 tick por evento"
"1 tick per %1","1 tick por %1","1 tick por %1"
"Mechanical Meter 1 Scale:","Escala Medidor Mecánico 1:","Escala do Medidor Mecânico 1:"
"Mechanical Meter 2 Scale:","Escala Medidor Mecánico 2:","Escala do Medidor Mecânico 2:"
"Mechanical Meter 3 Scale:","Escala Medidor Mecánico 3:","Escala do Medidor Mecânico 3:"
"Mechanical Meter 4 Scale:","Escala Medidor Mecánico 4:","Escala do Medidor Mecânico 4:"
"Mechanical Meter 5 Scale:","Escala Medidor Mecánico 5:","Escala do Medidor Mecânico 5:"
"Mechanical Meter 6 Scale:","Escala Medidor Mecánico 6:","Escala do Medidor Mecânico 6:"
,,
"0 = No Limit","0 = Sin Límite","0 = Sem Limite"
"Credit Limit","Límite de Crédito","Limite de Crédito"
"Printer Limit","Límite de Impresión","Limite da Impressora"
"Jackpot Limit","Límite de Jackpot","Limite do Jackpot"
"Upper Jackpot Limit","Límite de Jackpot Superior","Limite superior do Jackpot"
"Celebration Lock","Bloqueo de Celebración","Trava da Comemoração"
"Jackpot Lock","Bloqueo de Jackpot","Trava do Jackpot"
"Hopper Limit","Límite de Tolva","Limite da Cesta"
"Attendant Limit","Límite de Asistente","Limite de Atendente"
"Attendant hold button B1 adds","Mantener botón B1 Asistente añade","Adicionar quando o atendente segurar o botão B1"
"Raw Credit Limit","Límite de Crédito Bruto","Limite de Crédito Bruto"
"Acceptor Limit","Límite de Admisor","Limite de Aceitante"
"Bill Acceptor Limit","Límite de Admisor de Billetes","Limite do Aceitante de Notas"
"Tickets In Limit","Límite de Entrada de Tickets","Limite de Entrada de Bilhetes"
"%1 <= %2","%1 <= %2","%1 <= %2"
"%1 is infinite","%1 es infinito","%1 é infinito"
"%1 is %2","%1 es %2","%1 é %2"
"1 coin","1 moneda","1 moeda"
"Zero","Cero","Zero"
,,
"Machine ID:","ID de Máquina:","ID da Máquina:"
"SAS Asset ID:","ID de Valor SAS:","ID do Ativo SAS:"
,,
"Attempt to get data from Bill Validator failed (not responding)","Intento de obtener información del Validador de Billetes fallido (no responde)","Falha na tentativa de obter dados do Validador de Notas (não está respondendo)"
"Waiting for data from Bill Validator... Please wait!","Esperando información de Validador de Billetes... ¡Por favor, espere!","Aguardando dados do Validador de Notas... Favor aguardar!"
"Device/machine currency code mismatch. Machine code: %1 Device code: %2","El código de divisa del dispositivo/máquina no coincide. Código de máquina: Código de dispositivo %1: % 2","Códigos de moeda incompatível com o dispositivo/máquina. Código da máquina: %1 Código do dispositivo: %2"
"Ticket channel coincides with bill channel","El canal del ticket coincide con el del billete","O canal de bilhete coincide com o canal de notas"
"Please, confirm data received from Bill Validator","Por favor, confirme los datos recibidos Validador de Billetes","Favor confirmar os dados recebidos do Validador de Notas"
"Device responded with unknown currency code","El dispositivo ha respondido cn un código de divisa desconocido","O dispositivo respondeu com um código de moeda desconhecido"
"Device responded with wrong bill denomination value","El dispositivo ha respondido con un valor de denominación de billete incorrecto","O dispositivo respondeu com valor de denominação de nota incorreto"
"Unknown error occurred in Bill Validator","Ha ocurrido un error desconocido en el Validador de Billetes","Ocorreu um erro desconhecido no Validador de Notas"
,,
"Checking the bill validator. Please wait...","Comprobando el validador de billetes. Por favor, espere...","Verificando o validador de notas. Favor aguardar..."
"Only superuser can set system time!","¡Solo un superusuario puede ajustar la hora del sistema!","Somente o superusuário pode definir o horário do sistema!"
"Error message","Mensaje de error","Mensagem de erro"
"OK","OK","OK"
"SAVE","GUARDAR","SALVAR"
"BACK","VOLVER","VOLTAR"
"STYLE","ESTILO","ESTILO"
"SCREENSHOT","Captura de pantalla","CAPTURA DE TELA"
,,
"Mech Counters lamp","Lámpara de Contadores Mec.","Iluminação de Contadores Mecânicos"
"Lamp Buttons Test","Test de botones de lámpara","Teste dos Botões de Iluminação"
"Button L1 Lamp:","Lámpara de Botón L1:","Iluminação do Botão L1:"
"Button L2 Lamp:","Lámpara de Botón L2:","Iluminação do Botão L2:"
"Button L3 Lamp:","Lámpara de Botón L3:","Iluminação do Botão L3:"
"Button L4 Lamp:","Lámpara de Botón L4:","Iluminação do Botão L4:"
"Button L5 Lamp:","Lámpara de Botón L5:","Iluminação do Botão L5:"
"Button B1 Lamp:","Lámpara de Botón B1:","Iluminação do Botão B1:"
"Button B2 Lamp:","Lámpara de Botón B2:","Iluminação do Botão B2:"
"Button B3 Lamp:","Lámpara de Botón B3:","Iluminação do Botão B3:"
"Button B4 Lamp:","Lámpara de Botón B4:","Iluminação do Botão B4:"
"Button B5 Lamp:","Lámpara de Botón B5:","Iluminação do Botão B5:"
"Cash Out Lamp:","Lámpara de Cobrar:","Iluminação de Saque:"
"Service Lamp:","Lámpara de Servicio:","Iluminação de Serviço:"
"More Games Lamp:","Lámpara de Selección de Juego:","Iluminação de Mais Jogos:"
"Auto Play Lamp:","Lámpara Auto Play:","Iluminação de Jogo Automático:"
"Select Lines Lamp:","Lámpara de Selección de Línea:","Iluminação de Selecionar Linhas:"
"Select Bet Lamp:","Lámpara de Selección de Apuesta:","Iluminação de Selecionar Aposta:"
"To Points Lamp:","Lámpara de A Puntos:","Iluminação de Para Pontos:"
"Bet Lamp:","Lámpara de Apuesta:","Iluminação de Aposta:"
"To Bank Lamp:","Lámpara de A Banco:","Iluminação de Para o Banco:"
"Automatic Lamp:","Lámpara de Automatico:","Iluminação Automática:"
"Take Win Lamp:","Lámpara de Tomar Ganancia:","Iluminação de Pegar Prêmio:"
"Start Lamp:","Lámpara de Inicio:","Iluminação de Começar:"
"Select Lines Lamp:","Lámpara de Seleccionar Líneas:","Iluminação de Selecionar Linhas:"
"Select Bet Lamp:","Lámpara de Seleccionar Apuesta:","Iluminação de Selecionar Aposta:"
,,
"Mount USB","Montar USB","Montar USB"
"Mounting USB please wait.","Montando USB, por favor, espere","Montando USB, aguarde."
"Error! Proper USB flash drive not found!","¡Error! ¡Dispositivo USB adecuado no encontrado!","Erro! Não foi encontrado um drive USB adequado!"
"Error! Cannot mount USB","¡Error! No se pudo montar el USB","Erro! Não foi possível montar o USB"
"Dismounting please wait.","Desmontando, por favor, espere...","Desmontando, favor aguardar."
"Game Version: ","Versión del Juego:","Versão do Jogo:"
"Import","Importar","Importar"
"Export","Exportar","Exportar"
"File to export: ","Archivo a exportar:","Arquivo para exportar:"
"File to import: ","Archivo a importar:","Arquivo para importar:"
"Service Settings Files ","Archivos de Configuración de Servicio","Arquivos de Configurações de Serviço"
"PDF Files ","Archivos PDF","Arquivos PDF"
"Exported Update Files","Archivos Exportados para Actualizar","Arquivos de Atualização Exportados"
"Are you sure you wish to import these settings?","¿Está seguro de que quiere importar esta configuración?","Deseja mesmo importar essas configurações?"
"Importing settings: %1","Importar configuración: %1","Importando configurações: %1"
"Exporting settings: %1","Exportar configuración: %1","Exportando configurações: %1"
"Exporting accounting: %1","Exportar contabilidad: %1","Exportando contabilidade: %1"
"Setting cannot be imported.","La configuración no puede ser importada.","A configuração não pôde ser importada."
"%1 has been imported. Please restart the machine.","%1 ha sido importado. Por favor, reinicie la máquina.","%1 foi importado. Favor reiniciar a máquina."
"%1 has been imported.","%1 ha sido importado.","%1 foi importado."
"Please restart the machine.","Por favor, reinicie la máquina.","Favor reiniciar a máquina."
"Error while importing file %1!","¡Error al importar el archivo %1!","Erro ao importar o arquivo %1!"
"You have saved at least one of the required parameters! Please clean NVRAM and try again.","¡Ha guardado al menos uno de los parámetros solicitados! Por favor, limpie la NVRAM e inténtelo de nuevo.","Você salvou pelo menos um dos parâmetros necessários! Favor limpar a NVRAM e tentar novamente."
"%1 has been exported","%1 ha sido exportado.","%1 foi exportado"
"Error while exporting file %1!","¡Error al exportar el archivo %1!","Erro ao exportar o arquivo %1!"
"Are you sure you wish to overwrite this file?","¿Está seguro de que quiere sobrescribir este archivo?","Deseja mesmo sobrescrever este arquivo?"
"Service Functions Data","Datos de Funciones de Servicio","Dados de Funções de Serviço"
"No: %1; Date: %2","Nº: %1; Fecha %2","№: %1; Data: %2"
"Time Left: %1 Day(s) %2 Hour(s)","Tiempo Restante: %1 Día(s) %2 Hora(s)","Tempo Restante: %1 dia(s) %2 hora(s)"
"Time Left: No Limit","Tiempo Restante: Ilimitado","Tempo Restante: Sem Limite"
"Language Variant: ","Variante de Idioma:","Variante de Idioma:"
,,
"Reels Fast Stop:","Detención Rápida de Rodillos:","Parada Rápida dos Cilindros:"
"Game Speed:","Velocidad de Juego:","Velocidade do Jogo:"
"Standard","Estándar","Padrão"
"3 seconds","3 segundos","3 segundos"
"4 seconds","4 segundos","4 segundos"
"5 seconds","5 segundos","5 segundos"
"6 seconds","6 segundos","6 segundos"
"Set Reels Fast Stop:Enable and Game Speed:Standard to enable Fast/Turbo fields","Ajustar Detención Rápida de Rodillos:Activado y Velocidad de Juego:Estándar para activar campos Rápido/Turbo","Defina a Parada Rápida dos Cilindros como Habilitada e a Velocidade do Jogo como Padrão para habilitar os campos Rápido/Turbo"
"Main Game Fast/Turbo Mode:","Juego Principal Modo Rápido/Turbo","Modo Rápido/Turbo do Jogo Principal:"
"Game Fast/Turbo Mode:","Juego Modo Rápido/Turbo","Modo Rápido/Turbo do Jogo:"
"Auto Play Fast/Turbo Mode:","Auto Play Modo Rápido/Turbo","Modo Rápida/Turbo do Jogo Automático:"
"Set Reels Fast Stop:Enable and Game Speed:Standard to enable Fast/Turbo field","Ajustar Detención Rápida de Rodillos:Activado y Velocidad de Juego: Estándar para activar campos Rápido/Turbo","Defina a Parada Rápida dos Cilindros como Habilitada e a Velocidade do Jogo como Padrão para habilitar o campo Rápido/Turbo"
,,
"Show Game Rating:","Mostrar Valoración de Juego:","Mostrar Classificação do Jogo:"
"Bet Buttons:","Botones de Apuesta:","Botões de Aposta:"
"Game Select Marker:","Marcador de Selección de Juego:","Marcador de Seleção de Jogo:"
"Product Type:","Tipo de Producto:","Tipo de Produto:"
"Panel Fields:","Campos del Panel:","Campos do Painel:"
"Thousand Separator:","Separador de Miles:","Separador de Milhar:"
"Yes","Sí","Sim"
"No","No","Não"
"Play","Jugar","Jogar"
"Not Play","No Jugar","Não Jogar"
"Multi game","Multijuego","Multijogo"
"Single game","Juego Sencillo","Jogo único"
"Always Show","Mostrar Siempre","Mostrar Sempre"
"Show/Hide","Mostrar/Ocultar","Mostrar/Ocultar"
"Space","Espacio","Espaço"
"Comma","Coma","Vírgula"
"Dot","Punto","Ponto"
"Are you sure?","¿Está seguro?","Tem certeza?"
"Min","Min","Mín."
"Max","Max","Máx."
,,
"Restart","Restart","Reiniciar"
"Press OK to restart the machine","Pulse OK para reiniciar la máquina","Aperte OK para reiniciar a máquina"
"Confirm","Confirmar","Confirmar"
"Do you want to exit?","¿quieres irte?","Deseja sair?"
,,
"greater than","mayor que","maior que"
"less than","menor que","menor que"
"equal to","igual a","igual a"
,,
"GREEN","VERDE","VERDE"
"RED","ROJO","VERMELHO"
"YELLOW","AMARILLO","AMARELO"
"BLUE","AZUL","AZUL"
"BLACK","NEGRO","PRETO"
"PURPLE","MORADO","ROXO"
,,
"3 seconds","3 segundos","3 segundos"
"5 seconds","5 segundos","5 segundos"
"20 seconds","20 segundos","20 segundos"
"60 seconds","60 segundos","60 segundos"
"120 seconds","120 segundos","120 segundos"
,,
"100 games","100 juegos","100 jogos"
"200 games","200 juegos","200 jogos"
"300 games","300 juegos","300 jogos"
"400 games","400 juegos","400 jogos"
"500 games","500 juegos","500 jogos"
,,
"days","días","dias"
,,
"Show statistics for: ","Mostrar estadísticas para:","Mostrar estatísticas para:"
,,
"Report game start on cycle end:","Reportar inicio de juego a fin de ciclo:","Informar o início do jogo no final do ciclo:"
,,
"Press Button B1 to pay 1 coin.","Pulse el botón B1 para pagar 1 moneda.","Aperte o botão B1 para pagar 1 moeda."
"Press Button B2 to pay 10 coins.","Pulse el botón B2 para pagar 10 monedas.","Aperte o botão B2 para pagar 10 moedas."
"Press Button B3 in order to empty hopper.","Pulse el botón B3 para vaciar la tolva.","Aperte o Botão B3 para esvaziar a cesta."
"Number of coins paid: ","Número de monedas pagadas:","Número de moedas pagas:"
"Hopper could not be switched to diagnostic mode!","¡No se ha podido cambiar la tolva a modo diagnóstico!","Não foi possível mudar a Cesta para o modo de diagnóstico!"
"Hopper could not be switched to nondiagnostic mode!","¡No se ha podido cambiar la tolva a modo de no-diagnóstico!","Não foi possível mudar a Cesta para o modo sem diagnóstico!"
"Error. Could not start payment.","Error. No se pudo iniciar el pago.","Erro. Não foi possível iniciar o pagamento."
"Coin Out Tilt Error!","¡Error de Inclinación Salida de Moneda!","Erro de Inclinação da Saída de Moeda!"
"Coin Out Unjam Event!","¡Evento de Desatranque en Salida de Moneda!","Evento de Desatolamento da Saída de Moeda!"
"Hopper Full Error!","¡Error de Tolva Llena!","Erro de Cesta Cheia!"
"Hopper Not Full!","¡Tolva No Llena!","Cesta Não Está Cheia!"
"Hopper Empty!","¡Tolva Vacía!","Cesta Vazia!"
"General Hopper Error!","¡Error General de Tolva!","Erro Geral da Cesta!"
"Extra Coin Paid Error!","¡Error de Moneda Extra Pagada!","Erro de Pagamento de Moeda Adicional!"
"Wrong Coin Jam Error (Coin Out Tilt)!","¡Error de Atasco de Moneda Incorrecta (Inclinación de Salida de Moneda)!","Erro de Atolamento de Moeda Errada (Inclinação da Saída de Moeda)!"
"Hopper Stopped Error!","¡Error de Tolva Detenida!","Erro de Cesta Parada!"
"Wrong Unprocessed Event Error!","¡Error de Evento Incorrecto No Procesado!","Erro de Evento Não Processado Errado!"
"FATAL ERROR. Payout request while payout in progress.","ERROR FALTA. Pago solicitado durante pago en proceso.","ERRO FATAL. Solicitação de pagamento enquanto o pagamento está em andamento."
"Extra coin paid error!","¡Error de Moneda extra pagada!","Erro de pagamento de moeda adicional!"
"Error. Could not get hopper level.","Error. No se pudo obtener el nivel de la tolva.","Erro. Não foi possível obter o nível da Cesta."
"Hopper Full. Could Not Set Divertor To Hopper.","Tolva Llena. No Se Pudo Ajustar el Desviador a la Tolva.","Cesta Cheia. Não Foi Possível Configurar o Desviador para a Cesta."
"Error. Could Not Set Divertor To Hopper.","Error. No Se Pudo Ajustar el Desviador a la Tolva.","Erro. Não Foi Possível Configurar o Desviador para a Cesta."
"Error. Could Not Set Divertor To Drop Box.","Error. No Se Pudo Ajustar el Desviador a Caja de Caída.","Erro. Não Foi Possível Configurar o Desviador para a Caixa de Queda."
,,
"Coin Acceptor Test Enabled","Test de Admisor de Moneda Activado","Teste do Aceitante de Moedas Ativado"
"Coin Acceptor Test Disabled","Test de Admisor de Moneda Desactivado","Teste do Aceitante de Moedas Desativado"
"Divertor Set to Hopper","Desviador Ajustado a la Tolva","Desviador Definido para a Cesta"
"Divertor Set to Drop","Desviador Ajustado a Caída","Desviador Definido para Queda"
"Coin acceptor could not be switched to diagnostic mode!","¡No se ha podido cambiar el admisor de moneda a modo diagnóstico!","O aceitante de moedas não pôde ser colocado no modo de diagnóstico!"
"Coin acceptor could not be switched to nondiagnostic mode!","¡No se ha podido cambiar el admisor de moneda a modo de no-diagnóstico!","O aceitante de moedas não pôde ser colocado no modo sem diagnóstico!"
"Coin stuck error","Error de moneda atascada","Erro de moeda presa"
"Wrong coin in error","Error de moneda introducida incorrecta","Erro de entrada de moeda incorreta"
"Coin Unstuck!","¡Moneda Desatascada!","Moeda Desprendida!"
"Coin in tilt error!","¡Error de inclinación en entrada de moneda!","Erro de Inclinação da Entrada de Moeda!"
"Coin acceptor disconnected!","¡Admisor de moneda desconectado!","Aceitante de Moedas desconectado!"
"Coin acceptor connected!","¡Admisor de moneda conectado!","Aceitante de moedas conectado!"
"Divertor malfunction error!","¡Error de mal funcionamiento de desviador!","Erro de mau funcionamento do desviador!"
"Divertor actuated!","¡Desviador accionado!","Desviador acionado!"
"WARNING: Hopper Full. Divertor Set To Drop Box Automatically.","PELIGRO: Tolva Llena. Desviador Ajustado Automáticamente a Caja de Caída.","ATENÇÃO: Cesta Cheia. Desviador Definido para Caixa de Queda Automaticamente."
"Number of coins accepted: ","Número de monedas aceptadas:","Número de moedas aceitas:"
"Total amount accepted: ","Importe total aceptado:","Valor total aceito:"
,,
"Printer Test","Test de Impresora","Teste de Impressora"
"Print void voucher","Imprimir comprobante anulado","Imprimir cupom anulado"
"Printing void ticket...","Imprimiendo ticket nulo...","Imprimindo bilhete anulado..."
"Void ticket printed.","Ticket nulo impreso.","Bilhete anulado impresso."
"Validation number printed successfully.","Número de validación impreso con éxito.","Número de validação impresso com sucesso."
"Test Failed!","¡Test fallado!","Falha no Teste!"
"Printer could not be switched to diagnostic mode!","¡No se ha podido cambiar la impresora a modo diagnóstico!","Não foi possível mudar a impressora para o modo de diagnóstico!"
"Printer could not be switched to nondiagnostic mode!","¡No se ha podido cambiar la impresora a modo de no-diagnóstico!","Não foi possível mudar a impressora para o modo sem diagnóstico!"
"Printer paper low!","¡Papel de impresora bajo!","O nível de papel da impressora está baixo!"
"Printer paper not low!","¡Papel de impresora no bajo!","O nível de papel da impressora não está baixo!"
"Printer out of paper error!","¡Error de impresora sin papel!","Erro de impressora sem papel!"
"Printer paper inserted!","¡Papel de impresora insertado!","Papel de impressora inserido!"
"Printer carriage jam error!","¡Error de atasco en vagón de impresora!","Erro de atolamento no carro de impressão!"
"Printer carriage unjam!","¡Vagón de impresora desatascado!","Carro de impressão desatolado!"
"Printer communication error!","¡Error de comunicación de impresora!","Erro de comunicação com a impressora!"
"Printer communication resumed!","¡Comunicación de impresora restablecida!","Comunicação restabelecida com a impressora!"
"Printer internal error!","¡Error interno de impresora!","Erro interno da impressora!"
"Printer internal error handled!","¡Error interno de impresora solucionado!","Erro interno da impressora resolvido!"
"Old status:","Аntiguo estado:","Situação antiga:"
"None","Ninguno","Nada"
"Initial","Inicial","Inicial"
"Waiting","Esperando","Aguardando"
"Ready","Listo","Pronta"
"Error!","Error!","Erro!"
,,
"Bill validator could not be switched to diagnostic mode!","¡No se ha podido cambiar el validador de billete a modo diagnóstico!","O validador de notas não pôde ser colocado no modo de diagnóstico!"
"Bill validator could not be switched to nondiagnostic mode!","¡No se ha podido cambiar el validador de billete a modo de no-diagnóstico!","O validador de notas não pôde ser colocado no modo sem diagnóstico!"
"Could not establish a connection with bill validator!","¡No se ha podido establecer una conexión con el validador de billete!","Não foi possível estabelecer conexão com o validador de notas!"
"Waiting for Bill Validator Response. Please wait...","Esperando Respuesta del Validador de Billete. Por favor, espere...","Aguardando Resposta do Validador de Notas. Favor aguardar..."
"Insert Bill or Ticket to start Test","Introduzca Billete o Ticket para iniciar el Test","Inserir Nota ou Bilhete para iniciar o Teste"
"The inserted bill is: %1 %2","El billete introducido es: %1 %2","A nota inserida é: %1 %2"
"The bar code is: %1","El código de barras es: %1","O código de barras é: %1"
"Bill Validator Error!","¡Error de Validador de Billetes!","Erro no Validador de Notas!"
"Waiting for Bill Validator Confirmation. Please wait...","Esperando Confirmación del Validador de Billete. Por favor, espere...","Aguardando Confirmação do Validador de Notas. Favor aguardar..."
"Bill Returned!","¡Billete Devuelto!","Nota Devolvida!"
"Counterfeit Bill Detected!","¡Billete Falso Detectado!","Nota Falsa Detectada!"
"Jam in Acceptor!","¡Atasco en Admisor!","Atolamento no Aceitante!"
"Bill Unjam!","¡Billete Desatascado!","Desatolamento de Nota!"
"Stacker open!","¡Apilador abierto!","Empilhador aberto!"
"Bill Stacker Closed!","¡Apilador de Billete Cerrado!","Empilhador de Notas Fechado!"
"Bill Stacker Not Full!","¡Apilador de Billete No Lleno!","Empilhador de Notas Não Está Cheio!"
"Bill Rejected!","¡Billete Rechazado!","Nota Rejeitada!"
"Stacker full!","¡Apilador lleno!","Empilhador cheio!"
"Bill validator hardware failure!","¡Fallo de hardware de validador de billete!","Falha no hardware do validador de notas!"
"Bill validator communication error!","¡Error de comunicación de Validador de Billetes!","Erro de comunicação do validador de notas!"
"Communication with bill validator is blocked. Restart is required!","La comunicación con el validador de billetes está bloqueada. ¡Se necesita reiniciar!","A comunicação com o validador de notas está bloqueada. É necessário reiniciar!"
,,
"Bill Reading ...","Leyendo Billete …","Lendo Nota..."
"Bill Returning ...","Regresando Billete …","Retornando Nota..."
"Please get note back!","¡Favor tome el billete de regreso!","Por favor, receba a nota de volta!"
"Return Note","Regresar Billete","Devolução de Nota"
"No sensors detected.","No se han detectado sensores.","Nenhum sensor detectado."
,,
"%1'-Up","%1'-Arriba","%1'-Para cima"
"%1'-Down","%1'-Abajo","%1'-Para baixo"
"%1'-Left","%1'-Izquierda","%1'-Esquerda"
"%1'-Right","%1'-Derecha,","%1'-Direita"
"%1'-Back","%1'-Volver","%1'-Voltar"
"%1' x3 -Back","%1' x3 -Volver","%1' x3 -Voltar"
"%1'-Select","%1'-Seleccionar","%1'-Selecionar"
"%1'-Prev game","%1'-Izquierda","%1'-Jogo anterior"
"%1'-Next game","%1'-Derecha,","%1'-Próximo jogo"
"%1'-Prev page","%1'-Izquierda","%1'-Página anterior"
"%1'-Next page","%1'-Derecha,","%1'-Próxima página"
,,
"Service Fill Amount:","Importe de Llenado de Servicio:","Quantidade de Preenchimento de Serviço:"
,,
"Gamble Entered","Apuesta Introducida","Aposta Iniciada"
"Gamble Exited","Apuesta Extraída","Aposta Encerrada"
"Login from PPC","Login desde PPC","Login do PPC"
"Communication Error","Error de Comunicación","Erro de Comunicação"
"Logout from PPC","Logout desde PPC","Sair do PPC"
"Game Name %1 | Game Number %2","Nombre de Juego %1 | Número de Juego %2","Nome do Jogo %1 | Número do Jogo %2"
"MAIN","PRINCIPAL","PRINCIPAL"
"SECONDARY","SECUNDARIO","SECUNDÁRIO"
"count %1","Cuenta %1","contagem %1"
"NACK Error","Error NACK","Erro NACK"
"Wrong Command Error","Error de Comando Incorrecto","Erro de Comando Incorreto"
"Unknown Error","Error Desconocido","Erro Desconhecido"
"Attendant","Asistente","Atendente"
"Cashier","Cajero","Caixa"
"Admin","Admin","Administrador"
"Owner","Propietario","Proprietário"
"Cashable Voucher In","Introducción de Vale Reembolsable","Entrada de Cupom Convertível em Dinheiro"
"Non-cashable Voucher In","Introducción de Vale No-Reembolsable","Entrada de Cupom Não Convertível em Dinheiro"
"Promotional Voucher In","Introducción de Vale Promocional","Entrada de Cupom Promocional"
"Voucher In Rejected","Introducción de Vale Rechazada","Entrada de Cupom Rejeitada"
"Validation data: %1 Casino name: %2 Expiration %3 Sequence %4","Datos de validación: % 1","Dados de validação: %1 Nome do cassino: %2 Validade %3 Sequência %4"
"Validation data: %1","Datos de validación: % 1","Dados de validação: %1"
"Cashable Voucher OUT","Salida de Vale Reembolsable","SAÍDA de Cupom Convertível em Dinheiro"
"Non-cashable Voucher Out","Salida de Vale No-Reembolsable","Saída de Cupom Não Convertível em Dinheiro"
"Cashable Host to Voucher Out","Salida de Vale Reembolsable de Host","Saída de Host para Cupom Convertível em Dinheiro"
"Non-cashable Host to Voucher Out","Salida de Vale No-Reembolsable de Host","Saída de Host para Cupom Não Convertível em Dinheiro"
"Jackpot Receipt","Recibo de Jackpot","Recibo do Jackpot"
"Cash out Receipt","Recibo de Cobro","Recibo de Saque"
"UNKNOWN","DESCONOCIDO","DESCONHECIDO"
"Voucher Out failed ","Salida de Vale fallida","Falha na Saída de Cupom"
"AFT_Transfer Transfer ID = %1","AFT_Transfer ID Transferencia = %1","ID de Transferência AFT_Transfer = %1"
"Exception 69","Excepción 69","Exceção 69"
"InHouse in %1","InHouse en %1","Entrada de Dentro da Casa %1"
"Bonus coin out %1","Bonus en monedas %1","Saída de moeda bônus %1"
"Bonus jackpot %1","Bonus jackpot %1","Jackpot bônus %1"
"InHouse to Voucher %1","InHouse a Vale%1","Dentro da Casa para Cupom %1"
"Debit to GM %1","Débito a GM %1","Débito para GM %1"
"Debit to Voucher %1","Débito a Vale %1","Débito no Cupom %1"
"InHouse out cashout %1","InHouse a cobro %1","Saída de Saque Dentro da Casa %1"
