"KEY","EN","BG","ESP","PT"
,,,
"STR_VSYNC_BACKGROUND_COLOR","Background color:","Цвят на фона:","Color de Fondo:","Cor de fundo:"
"STR_VSYNC_LINES_COLOR","Lines color:","Цветове на линиите:","Color de Líneas:","Cor das linhas:"
"STR_VSYNC_SPEED","Speed:","Скорост:","Velocidad:","Velocidade:"
,,,
"STR_TOP_LIGHTS_VISUAL_TEST","Visual test. Top lights have to blink: top lights 1 and 3 - in phase, top light 2 - in opposite phase.","Визуален тест. Горните лампи трябва да мигат: горните лампи 1 и 3 – във фаза, горна лапма 2 – в срещуположна фаза.","Test visual. Las luces superiores han de parpadear: luces superiores 1 y 3 - en fase,
"STR_TOP_LIGHT","Top Light ","Горна Лапма","Luz Superior","Luz Superior"
,,,
"STR_SETUPMODE","Setup Mode:","Режим на настройките:","Modo de Configuración:","Modo de Configuração:"
"STR_AUTO","Auto","Автоматично","Auto","Automático"
"STR_MANUAL","Manual","Ръчно","Manual","Manual"
,,,
"STR_AUTO_MODE","Auto Mode:","Автоматичен режим:","Modo Auto:","Modo Automático:"
"STR_FAST_MODE","Fast Mode:",,"Modo Rápido:","Modo Rápido:"
"STR_SAS_LPOLL_AA_BEHAVIOUR","SAS LPOLL AA Behaviour:","SAS LPOLL AA Поведение:","Comportamiento SAS LPOLL AA:","Comportamento SAS LPOLL AA:"
"STR_GAMBLE_GAME","Gamble Game:","Удвояваща игра:","Juego Apuesta:","Jogo de Aposta:"
"STR_MAX_GAMBLE_ATTEMPTS","Max Gamble Attempts:","Максимални опити за удвояване:","Intentos de Apuesta Máx:","Tentativas Máx. de Apostar:"
"STR_GAMBLE_LIMIT","Gamble Limit:","Лимит на удвояванията:","Límite de Apuesta:","Limite de Aposta:"
,,,
"STR_ENABLE_DISABLE_AUTO_MODE","Enable/Disable Auto Mode","Включване/Изключване на автоматичен режим","Activar/Desactivar Modo Auto","Ativar/Desativar Modo Automático"
"STR_START_STOP_USER_AUTO_REBET","Start/Stop User Auto Rebet","Старт/Стоп на автоматично залагане","Start/Stop Auto Reapuesta de Usuario","Iniciar/Parar Reaposta Automática do Usuário"
,,,
"STR_EMPTY"," "," ",,
"STR_LANGUAGES","LANGUAGES","ЕЗИЦИ","IDIOMAS","IDIOMAS"
,,,
"STR_LANGUAGE_EN","English","Английски","Inglés","inglês"
"STR_LANGUAGE_BG","Bulgarian","Български","Búlgaro","búlgaro"
"STR_LANGUAGE_ESP","Spanish","Испански","Español","espanhol"
"STR_LANGUAGE_DE","German","Немски","Alemán","alemão"
"STR_LANGUAGE_HUG","Hungarian","Унгарски","Húngaro","húngaro"
"STR_LANGUAGE_NL","Dutch","Холандки","Holandés","holandês"
"STR_LANGUAGE_CH","Chinese","Китайски","China","chinês"
"STR_LANGUAGE_RU","Russian","Руски","Ruso","russo"
"STR_LANGUAGE_UKR","Ukrainian","Украински","Ucranio","ucraniano"
"STR_LANGUAGE_MK","Macedonian","Македонски","Macedonian","macedônio"
"STR_LANGUAGE_SRB","Serbian","Сръбски","Serbian","sérvio"
"STR_LANGUAGE_FR","French","Френски","Francés","francês"
"STR_LANGUAGE_PT","Portuguese","Португалски",
,,,
"DEF_STR_LANGUAGE_EN","English","Английски","Inglés","inglês"
"DEF_STR_LANGUAGE_BG","Bulgarian","Български","Búlgaro","búlgaro"
"DEF_STR_LANGUAGE_ESP","Spanish","Испански","Español","espanhol"
"DEF_STR_LANGUAGE_DE","German","Немски","Alemán","alemão"
"DEF_STR_LANGUAGE_HUG","Hungarian","Унгарски","Húngaro","húngaro"
"DEF_STR_LANGUAGE_NL","Dutch","Холандки","Holandés","holandês"
"DEF_STR_LANGUAGE_CH","Chinese","Китайски","China","chinês"
"DEF_STR_LANGUAGE_RU","Russian","Руски:","Ruso:","russo"
"DEF_STR_LANGUAGE_UKR","Ukrainian","Украински:","Ucranio:","ucraniano"
"DEF_STR_LANGUAGE_MK","Macedonian","Македонски","Macedonian","macedônio"
"DEF_STR_LANGUAGE_SRB","Serbian","Сръбски","Serbian","sérvio"
"DEF_STR_LANGUAGE_FR","French","Френски","Francés","francês"
"DEF_STR_LANGUAGE_PT","Portuguese","Португалски",
,,,
"STR_DEFAULT_LANGUAGE","Default Language","Език по подразбиране","Idioma por Defecto","Idioma Padrão"
,,,
"STR_LANGUAGE_FLAGS","FLAGS",,"BANDERAS","BANDEIRAS"
"STR_LANGUAGE_FLAG_UK","United Kingdom","Великобритания","Reino Unido","Reino Unido"
"STR_LANGUAGE_FLAG_US","USA","САЩ","USA","EUA"
"STR_LANGUAGE_FLAG_IRELAND","Ireland","Ирландия","Ireland","Irlanda"
"STR_LANGUAGE_FLAG_BULGARIA","Bulgaria","България","Bulgaria","Bulgária"
"STR_LANGUAGE_FLAG_SPAIN","Spain","Испания ","España","Espanha"
"STR_LANGUAGE_FLAG_MEXICO","Mexico","Мексико","México","México"
"STR_LANGUAGE_FLAG_COLOMBIA","Colombia","Колумбия","Colombia","Colômbia"
"STR_LANGUAGE_FLAG_ARGENTINA","Argentina","Аржентина","Argentina","Argentina"
"STR_LANGUAGE_FLAG_PERU","Peru","Перу","Perú","Peru"
"STR_LANGUAGE_FLAG_VENEZUELA","Venezuela","Венецуела","Venezuela","Venezuela"
"STR_LANGUAGE_FLAG_CHILE","Chile","Чили","Chile","Chile"
"STR_LANGUAGE_FLAG_ECUADOR","Ecuador","Еквадор","Ecuador","Equador"
"STR_LANGUAGE_FLAG_GUATEMALA","Guatemala","Гватемала","Guatemala","Guatemala"
"STR_LANGUAGE_FLAG_CUBA","Cuba","Куба","Cuba","Cuba"
"STR_LANGUAGE_FLAG_BOLIVIA","Bolivia","Боливия","Bolivia","Bolívia"
"STR_LANGUAGE_FLAG_DOMINICAN_REPUBLIC","Dominican Republic","Доминиканска Република","República Dominicana","República Dominicana"
"STR_LANGUAGE_FLAG_HONDURAS","Honduras","Хондурас","Honduras","Honduras"
"STR_LANGUAGE_FLAG_PARAGUAY","Paraguay","Парагвай","Paraguay","Paraguai"
"STR_LANGUAGE_FLAG_EL_SALVADOR","El Salvador","Ел Салвадор","El Salvador","El Salvador"
"STR_LANGUAGE_FLAG_NICARAGUA","Nicaragua","Никарагуа","Nicaragua","Nicarágua"
"STR_LANGUAGE_FLAG_COSTA_RICA","Costa Rica","Коста Рика","Costa Rica","Costa Rica"
"STR_LANGUAGE_FLAG_PUERTO_RICO","Puerto Rico","Пуерто Рико","Puerto Rico","Porto Rico"
"STR_LANGUAGE_FLAG_PANAMA","Panama","Панама","Panamá","Panamá"
"STR_LANGUAGE_FLAG_URUGUAY","Uruguay","Уругвай","Uruguay","Uruguai"
"STR_LANGUAGE_FLAG_EQUATORIAL_GUINEA","Equatorial Guinea","Екваториална Гвинея","Guinea Ecuatorial","Guiné Equatorial"
"STR_LANGUAGE_FLAG_GERMANY","Germany","Германия","Alemania","Alemanha"
"STR_LANGUAGE_FLAG_AUSTRIA","Austria","Австрия","Austria","Áustria"
"STR_LANGUAGE_FLAG_SWITZERLAND","Switzerland","Швейцария","Suiza","Suíça"
"STR_LANGUAGE_FLAG_LUXEMBOURG","Luxembourg","Люксембург","Luxemburgo","Luxemburgo"
"STR_LANGUAGE_FLAG_LIECHTENSTEIN","Liechtenstein","Лихтенщайн","Liechtenstein","Liechtenstein"
"STR_LANGUAGE_FLAG_BELGIUM","Belgium","Белгия","Bélgica","Bélgica"
"STR_LANGUAGE_FLAG_HUNGARY","Hungary","Унгария","Hungría","Hungria"
"STR_LANGUAGE_FLAG_NETHERLANDS","The Netherlands","Холандия","Países Bajos","Países Baixos"
"STR_LANGUAGE_FLAG_CHINA","China","Китай","China","China"
"STR_LANGUAGE_FLAG_RUSSIA","Russia","Русия","Rusia","Rússia"
"STR_LANGUAGE_FLAG_UKRAINE","Ukraine","Украйна","Ucrania","Ucrânia"
"STR_LANGUAGE_FLAG_MACEDONIA","Macedonia","Македония","Macedonia","Macedônia do Norte"
"STR_LANGUAGE_FLAG_SERBIA","Serbia","Сърбия","Serbia","Sérvia"
"STR_LANGUAGE_FLAG_FRANCE","France","Франция","Francia","França"
"STR_LANGUAGE_FLAG_PORTUGAL","Portugal","Португалия",
,,,
"STR_TICKETS","Tickets:","Билети:","Tickets:","Bilhetes:"
"STR_COIN_IN","Coin In (Total Bet):","Вкарани монети (Общ залог):","Entrada Moneda (Apuesta Total):","Entrada de Moeda (Aposta Total):"
"STR_COIN_OUT","Coin Out (Not Hand Paid Win):","Изкарани монети (Не е изплащане на ръка):","Salida Moneda (Premio sin Pago en Mano):","Saída de Moeda (Prêmio Não Pago Manualmente):"
"STR_JACKPOT_HPW","Jackpot (Hand Paid Win):","Джакпот (Изплащане на ръка):","Jackpot (Premio con Pago en Mano):","Jackpot (Prêmio Pago Manualmente):"
"STR_TOTAL_IN","Total In:","Общо вкарани:","Total Entrada:","Entrada Total:"
"STR_COIN_DROP","Coin Drop:","Сума от пари в жетоните в каса:","Caída de Moneda:","Queda de Moeda:"
"STR_BILLS_IN","Bills In:","Записи:","Entrada Billetes:","Entrada de Notas:"
"STR_KEYED_IN","Keyed In:","Включени:","Bloqueado:","Digitado:"
"STR_TOTAL_OUT","Total OUT:","Общо изкарани:","Total SALIDA:","SAÍDA Total:"
"STR_HAND_PAID_CANCELLED_CREDITS","Hand Paid Cancelled Credits:","Ръчно платени анулирани кредити:","Créditos Cancelados Pagados en Mano:","Créditos Cancelados Pagos Manualmente:"
"STR_CANCELLED_CREDITS","Cancelled Credits:","Анулирани кредити:","Créditos Cancelados:","Créditos Cancelados:"
"STR_PROGR_JACKPOT","Progr. Jackpot:","Прог. Джакпот:","Progr. Jackpot:","Jackpot Progr.:"
"STR_PROGR_JACKPOT_HITS","Progr. Jackpot Hits:","Попадения на Прог. Джакпот:","Progr. Jackpots Conseguidos:","Acertos de Jackpot Progr.:"
"STR_GAMES","Games:","Игри:","Juegos:","Jogos:"
"STR_COUNTERS_POSITION","COUNTERS POSITION","ПОЗИЦИЯ НА БРОЯЧИ","POSICIÓN DE CONTADORES","POSIÇÃO DOS CONTADORES"
"STR_ALL_TO_NONE","ALL TO NONE","ИЗКЛЮЧИ ВСИЧКИ","TODOS A NADA","TUDO PARA NADA"
"STR_ONE_TICK_PER_EVENT","1 tick per event","1 отметка за всяко събитие","1 tick por evento","1 tick por evento"
"STR_ONE_TICK_PER","1 tick per %1","1 отметка за %1","1 tick por %1","1 tick por %1"
"STR_MECHANICAL_METER_1","Mechanical Meter 1 Scale:","Механичен метър 1 Мащаб:","Escala Medidor Mecánico 1:","Escala do Medidor Mecânico 1:"
"STR_MECHANICAL_METER_2","Mechanical Meter 2 Scale:","Механичен метър 2 Мащаб:","Escala Medidor Mecánico 2:","Escala do Medidor Mecânico 2:"
"STR_MECHANICAL_METER_3","Mechanical Meter 3 Scale:","Механичен метър 3 Мащаб:","Escala Medidor Mecánico 3:","Escala do Medidor Mecânico 3:"
"STR_MECHANICAL_METER_4","Mechanical Meter 4 Scale:","Механичен метър 4 Мащаб:","Escala Medidor Mecánico 4:","Escala do Medidor Mecânico 4:"
"STR_MECHANICAL_METER_5","Mechanical Meter 5 Scale:","Механичен метър 5 Мащаб:","Escala Medidor Mecánico 5:","Escala do Medidor Mecânico 5:"
"STR_MECHANICAL_METER_6","Mechanical Meter 6 Scale:","Механичен метър 6 Мащаб:","Escala Medidor Mecánico 6:","Escala do Medidor Mecânico 6:"
,,,
"STR_0_NO_LIMIT","0 = No Limit","0 = Без ограничение","0 = Sin Límite","0 = Sem Limite"
"STR_CREDIT_LIMIT","Credit Limit","Кредитен Лимит","Límite de Crédito","Limite de Crédito"
"STR_PRINTER_LIMIT","Printer Limit","Лимит на Принтера","Límite de Impresión","Limite da Impressora"
"STR_JACKPOT_LIMIT","Jackpot Limit","Джакпот Лимит","Límite de Jackpot","Limite do Jackpot"
"STR_UPPER_JACKPOT_LIMIT","Upper Jackpot Limit","Горна граница на Джакпота Лимита","Límite de Jackpot Superior","Limite superior do Jackpot"
"STR_CELEBRATION_LOCK","Celebration Lock",,"Bloqueo de Celebración","Trava da Comemoração"
"STR_JACKPOT_LOCK","Jackpot Lock",,"Bloqueo de Jackpot","Trava do Jackpot"
"STR_HOPPER_LIMIT","Hopper Limit","Лимит на Хопъра","Límite de Tolva","Limite da Cesta"
"STR_ATTENDANT_LIMIT","Attendant Limit","Лимит на Крупието","Límite de Asistente","Limite de Atendente"
"STR_ATTENDANT_MULTIPLIER","Attendant hold button B1 adds","Задържайки бутон B1 в калкулатора се добавят пари","Mantener botón B1 Asistente añade","Adicionar quando o atendente segurar o botão B1"
"STR_RAW_CREDIT_LIMIT","Raw Credit Limit",,"Límite de Crédito Bruto","Limite de Crédito Bruto"
"STR_ACCEPTOR_LIMIT","Acceptor Limit",,"Límite de Admisor","Limite de Aceitante"
"STR_BILL_ACCEPTOR_LIMIT","Bill Acceptor Limit","Лимит на Апарата за Банкноти","Límite de Admisor de Billetes","Limite do Aceitante de Notas"
"STR_TICKETS_LIMIT","Tickets In Limit","Лимит на Билетите:","Límite de Entrada de Tickets","Limite de Entrada de Bilhetes"
"STR_LESS_OR_EQUAL","%1 <= %2","%1 <= %2","%1 <= %2","%1 <= %2"
"STR_IS_INFINITE","%1 is infinite","%1 е неограничен","%1 es infinito","%1 é infinito"
"STR_IS_VALUE","%1 is %2","%1 e %2","%1 es %2","%1 é %2"
"STR_1_COIN","1 coin","1 монета","1 moneda","1 moeda"
"STR_ZERO","Zero","Нула","Cero","Zero"
,,,
"STR_MACHINE_ID","Machine ID:","ID на машината","ID de Máquina:","ID da Máquina:"
"STR_ASSET_ID","SAS Asset ID:",,"ID de Valor SAS:","ID do Ativo SAS:"
,,,
"STR_BILL_VALIDATOR_NOT_RESPONDING","Attempt to get data from Bill Validator failed (not responding)","Опитът да се получат данни от ""Банкното-Валидарот"" е неуспешен (не отговаря)","Intento de obtener información del Validador de Billetes fallido (no responde)","Falha na tentativa de obter dados do Validador de Notas (não está respondendo)"
"STR_BILL_VALIDATOR_WAITING","Waiting for data from Bill Validator... Please wait!","В очакване на данни от Банкното-Валидатора ... Моля, изчакайте!","Esperando información de Validador de Billetes... ¡Por favor,"Esperando información de Validador de Billetes... ¡Por favor, espere!","Aguardando dados do Validador de Notas... Favor aguardar!"
"STR_BILL_VALIDATOR_CURRENCY_MISMATCH","Device/machine currency code mismatch. Machine code: %1 Device code: %2","Устройство/машина несъотвествие в кода на валутата. Код на машината: %1 Код на устройстово: %2","El código de divisa del dispositivo/máquina no coincide. Código de máquina: Código de dispositivo %1: % 2","Códigos de moeda incompatível com o dispositivo/máquina. Código da máquina: %1 Código do dispositivo: %2"
"STR_TICKET_COINCIDES","Ticket channel coincides with bill channel","Каналът на билетите съвпада с канала за банкноти","El canal del ticket coincide con el del billete","O canal de bilhete coincide com o canal de notas"
"STR_BILL_VALIDATOR_CONFIRM","Please, confirm data received from Bill Validator","Моля, потвърдете данните, получени от Банкното-Валидатора","Por favor, confirme los datos recibidos Validador de Billetes","Favor confirmar os dados recebidos do Validador de Notas"
"STR_BILL_VALIDATOR_UNKNOWN_CURRENCY","Device responded with unknown currency code","Устройството не разпознава валутния код","El dispositivo ha respondido cn un código de divisa desconocido","O dispositivo respondeu com um código de moeda desconhecido"
"STR_BILL_VALIDATOR_WRONG_BILL_DENOMINATION","Device responded with wrong bill denomination value","Устройството не разпознава деноминацията на валутата","El dispositivo ha respondido con un valor de denominación de billete incorrecto","O dispositivo respondeu com valor de denominação de nota incorreto"
"STR_BILL_VALIDATOR_UNKNOWN_ERROR","Unknown error occurred in Bill Validator","Непозната грешка в Банкното-Валидатора","Ha ocurrido un error desconocido en el Validador de Billetes","Ocorreu um erro desconhecido no Validador de Notas"
,,,
"STR_BILL_VALIDATOR_CHECKING","Checking the bill validator. Please wait...","Проверка на банкното-валидатора. Моля изчакайте …","Comprobando el validador de billetes. Por favor,"Comprobando el validador de billetes. Por favor, espere...","Verificando o validador de notas. Favor aguardar..."
"STR_SET_TIME_ERROR","Only superuser can set system time!","Само суперпотребител може да настрой времето!","¡Solo un superusuario puede ajustar la hora del sistema!","Somente o superusuário pode definir o horário do sistema!"
"STR_ERROR","Error message","Съобщение за грешка","Mensaje de error","Mensagem de erro"
"STR_OK","OK","ОК","OK","OK"
"STR_SAVE","SAVE","ЗАПИС","GUARDAR","SALVAR"
"STR_BACK","BACK","НАЗАД","VOLVER","VOLTAR"
"STR_STYLE","STYLE","СТИЛ","ESTILO","ESTILO"
"STR_SCREENSHOT","SCREENSHOT","Eкранна снимка","Captura de pantalla","CAPTURA DE TELA"
,,,
"STR_MECH_COUNTERS_TEST","Mech Counters lamp","Лампа на механичните броячи","Lámpara de Contadores Mec.","Iluminação de Contadores Mecânicos"
"STR_LAMPS_TEST","Lamp Buttons Test","Тест на лампите на бутоните","Test de botones de lámpara","Teste dos Botões de Iluminação"
"STR_LAMPS_L1","Button L1 Lamp:","Бутон L1 Лампа:","Lámpara de Botón L1:","Iluminação do Botão L1:"
"STR_LAMPS_L2","Button L2 Lamp:","Бутон L2 Лампа:","Lámpara de Botón L2:","Iluminação do Botão L2:"
"STR_LAMPS_L3","Button L3 Lamp:","Бутон L3 Лампа:","Lámpara de Botón L3:","Iluminação do Botão L3:"
"STR_LAMPS_L4","Button L4 Lamp:","Бутон L4 Лампа:","Lámpara de Botón L4:","Iluminação do Botão L4:"
"STR_LAMPS_L5","Button L5 Lamp:","Бутон L5 Лампа:","Lámpara de Botón L5:","Iluminação do Botão L5:"
"STR_LAMPS_B1","Button B1 Lamp:","Бутон B1 Лампа:","Lámpara de Botón B1:","Iluminação do Botão B1:"
"STR_LAMPS_B2","Button B2 Lamp:","Бутон B2 Лампа:","Lámpara de Botón B2:","Iluminação do Botão B2:"
"STR_LAMPS_B3","Button B3 Lamp:","Бутон B3 Лампа:","Lámpara de Botón B3:","Iluminação do Botão B3:"
"STR_LAMPS_B4","Button B4 Lamp:","Бутон B4 Лампа:","Lámpara de Botón B4:","Iluminação do Botão B4:"
"STR_LAMPS_B5","Button B5 Lamp:","Бутон B5 Лампа:","Lámpara de Botón B5:","Iluminação do Botão B5:"
"STR_LAMPS_CASH_OUT","Cash Out Lamp:","Лампа Изплащане:","Lámpara de Cobrar:","Iluminação de Saque:"
"STR_LAMPS_SERVICE","Service Lamp:","Сервизна Лампа:","Lámpara de Servicio:","Iluminação de Serviço:"
"STR_LAMPS_SELECT_GAME","More Games Lamp:","Лампа за избор на игра:","Lámpara de Selección de Juego:","Iluminação de Mais Jogos:"
"STR_LAMPS_AUTO_PLAY","Auto Play Lamp:","Лампа за автоматична игра:","Lámpara Auto Play:","Iluminação de Jogo Automático:"
"STR_LAMPS_SELECT_LINES","Select Lines Lamp:","Лампа за избор на линия:","Lámpara de Selección de Línea:","Iluminação de Selecionar Linhas:"
"STR_LAMPS_SELECT_BET","Select Bet Lamp:","Лампа за избор на залог:","Lámpara de Selección de Apuesta:","Iluminação de Selecionar Aposta:"
"STR_LAMPS_TO_POINTS","To Points Lamp:",,"Lámpara de A Puntos:","Iluminação de Para Pontos:"
"STR_LAMPS_BET","Bet Lamp:","Лампа за залог","Lámpara de Apuesta:","Iluminação de Aposta:"
"STR_LAMPS_TO_BANK","To Bank Lamp:",,"Lámpara de A Banco:","Iluminação de Para o Banco:"
"STR_LAMPS_AUTOMATIC","Automatic Lamp:",,"Lámpara de Automatico:","Iluminação Automática:"
"STR_LAMPS_TAKE_WIN","Take Win Lamp:","Лампа за взимане на печалба:","Lámpara de Tomar Ganancia:","Iluminação de Pegar Prêmio:"
"STR_LAMPS_START","Start Lamp:","Лампа за Старт:","Lámpara de Inicio:","Iluminação de Começar:"
"STR_LAMPS_GAMBLE_SELECT_LINE","Select Lines Lamp:","Лампа за избор на линия:","Lámpara de Selección de Línea:","Iluminação de Selecionar Linhas:"
"STR_LAMPS_GAMBLE_SELECT_BET","Select Bet Lamp:","Лампа за избор на залог:","Lámpara de Selección de Apuesta:","Iluminação de Selecionar Aposta:"
,,,
"STR_MOUNT_USB","Mount USB","Монтирано USB","Montar USB","Montar USB"
"STR_MOUNTING_USB","Mounting USB please wait.","Монтиране на USB моля изчакайте","Montando USB, por favor,"Montando USB, por favor, espere","Montando USB, aguarde."
"STR_USB_NOT_FOUND","Error! Proper USB flash drive not found!","Грешка! Подходящ USB  драйвер не е намерен!","¡Error! ¡Dispositivo USB adecuado no encontrado!","Erro! Não foi encontrado um drive USB adequado!"
"STR_CANT_MOUNT_USB","Error! Cannot mount USB","Грешка! USB не може да бъде монтирано","¡Error! No se pudo montar el USB","Erro! Não foi possível montar o USB"
"STR_DISMOUNT_PLEASE_WAIT","Dismounting please wait.","Демонтиране моля изчакайте.","Desmontando, por favor,"Desmontando, por favor, espere...","Desmontando, favor aguardar."
"STR_GAME_VERSION","Game Version: ","Версия на играта:","Versión del Juego:","Versão do Jogo:"
"STR_IMPORT","Import","Импортиране","Importar","Importar"
"STR_EXPORT","Export","Експортиране","Exportar","Exportar"
"STR_FILE_TO_EXPORT","File to export: ","Файл за експортиране:","Archivo a exportar:","Arquivo para exportar:"
"STR_FILE_TO_IMPORT","File to import: ","Файл за импортиране:","Archivo a importar:","Arquivo para importar:"
"STR_SERVICE_SETTINGS_FILES","Service Settings Files ","Файл за сервизни настройки","Archivos de Configuración de Servicio","Arquivos de Configurações de Serviço"
"STR_PDF_FILES","PDF Files ","PDF Файлове","Archivos PDF","Arquivos PDF"
"STR_EXPORTED_UPDATE_FILES","Exported Update Files","Експортирани Файлове за Актуализация","Archivos Exportados para Actualizar","Arquivos de Atualização Exportados"
"STR_ARE_YOU_SURE_IMPORT","Are you sure you wish to import these settings?","Сигурен ли сте че искате да импортирате тези настройки?","¿Está seguro de que quiere importar esta configuración?","Deseja mesmo importar essas configurações?"
"STR_IMPORTING_SETTINGS","Importing settings: %1","Импортиране на настройки: %1","Importar configuración: %1","Importando configurações: %1"
"STR_EXPORTING_SETTINGS","Exporting settings: %1","Експортиране на настройки: %1","Exportar configuración: %1","Exportando configurações: %1"
"STR_EXPORTING_ACCOUNTING","Exporting accounting: %1","Експортиране на отчета:% 1","Exportar contabilidad: %1","Exportando contabilidade: %1"
"STR_IMPORT_FAIL","Setting cannot be imported.","","La configuración no puede ser importada.","A configuração não pôde ser importada."
"STR_SETTINGS_IMPORTED_RESTART","%1 has been imported. Please restart the machine.","%1 беше импортиран. Моля рестартирайте машината.","%1 ha sido importado. Por favor,"%1 ha sido importado. Por favor, reinicie la máquina.","%1 foi importado. Favor reiniciar a máquina."
"STR_MARKET_SETTINGS_IMPORTED","%1 has been imported.","%1 беше импортиран.","%1 ha sido importado.","%1 foi importado."
"STR_JACKPOT_ACTIVE_RESTART","Please restart the machine.","Моля рестартирайте машината.","Por favor,"Por favor, reinicie la máquina.","Favor reiniciar a máquina."
"STR_IMPORTING_FAILED","Error while importing file %1!","Грешка при импортиране на файл %1!","¡Error al importar el archivo %1!","Erro ao importar o arquivo %1!"
"STR_ONE_OR_MORE_SETTINGS_SET","You have saved at least one of the required parameters! Please clean NVRAM and try again.","Запаметили сте поне един от необходимите параметри! Моля нулирайте NVRAM и опитайте отново.","¡Ha guardado al menos uno de los parámetros solicitados! Por favor,"¡Ha guardado al menos uno de los parámetros solicitados! Por favor, limpie la NVRAM e inténtelo de nuevo.","Você salvou pelo menos um dos parâmetros necessários! Favor limpar a NVRAM e tentar novamente."
"STR_SETTINGS_EXPORTED","%1 has been exported","%1 беше експортиран","%1 ha sido exportado.","%1 foi exportado"
"STR_EXPORT_FAILED","Error while exporting file %1!","Грешка при експортиране на файл %1!","¡Error al exportar el archivo %1!","Erro ao exportar o arquivo %1!"
"STR_ARE_YOU_SURE_EXPORT","Are you sure you wish to overwrite this file?","Сигурен ли сте че искате да презапишите този файл?","¿Está seguro de que quiere sobrescribir este archivo?","Deseja mesmo sobrescrever este arquivo?"
"STR_PDF_TITLE","Service Functions Data","Данни за сервизните функции","Datos de Funciones de Servicio","Dados de Funções de Serviço"
"STR_PDF_COMMON_INFO","No: %1; Date: %2","No: %1; Дата: %2","Nº: %1; Fecha %2","№: %1; Data: %2"
"STR_PDF_AUTHORIZATION_INFO","Time Left: %1 Day(s) %2 Hour(s)","Оставащо време: % Дни %2 Час","Tiempo Restante: %1 Día(s) %2 Hora(s)","Tempo Restante: %1 dia(s) %2 hora(s)"
"STR_PDF_TIME_LEFT","Time Left: No Limit","Оставащо време: Без ограничение","Tiempo Restante: Ilimitado","Tempo Restante: Sem Limite"
"STR_VARIANT","Language Variant: ","Вариант за езика:","Variante de Idioma:","Variante de Idioma:"
,,,
"STR_REELS_FAST_STOP","Reels Fast Stop:","Бързо спиране на ролките:","Detención Rápida de Rodillos:","Parada Rápida dos Cilindros:"
"STR_GAME_SPEED","Game Speed:","Скорост на играта:","Velocidad de Juego:","Velocidade do Jogo:"
"STR_GAME_SPEED_STANDARD","Standard","Стандарт","Estándar","Padrão"
"STR_GAME_SPEED_3_SEC","3 seconds","3 секунди","3 segundos","3 segundos"
"STR_GAME_SPEED_4_SEC","4 seconds","4 секунди","4 segundos","4 segundos"
"STR_GAME_SPEED_5_SEC","5 seconds","5 секунди","5 segundos","5 segundos"
"STR_GAME_SPEED_6_SEC","6 seconds","6 секунди","6 segundos","6 segundos"
"STR_FAST_TURBO_HINT","Set Reels Fast Stop:Enable and Game Speed:Standard to enable Fast/Turbo fields","","Ajustar Detención Rápida de Rodillos:Activado y Velocidad de Juego:Estándar para activar campos Rápido/Turbo","Defina a Parada Rápida dos Cilindros como Habilitada e a Velocidade do Jogo como Padrão para habilitar os campos Rápido/Turbo"
"STR_MAIN_GAME_FAST_TURBO_MODE","Main Game Fast/Turbo Mode:","","Juego Principal Modo Rápido/Turbo","Modo Rápido/Turbo do Jogo Principal:"
"STR_GAME_FAST_TURBO_MODE","Game Fast/Turbo Mode:","","Juego Modo Rápido/Turbo","Modo Rápido/Turbo do Jogo:"
"STR_AUTO_PLAY_FAST_TURBO_MODE","Auto Play Fast/Turbo Mode:","","Auto Play Modo Rápido/Turbo","Modo Rápida/Turbo do Jogo Automático:"
"STR_GAME_FAST_TURBO_HINT","Set Reels Fast Stop:Enable and Game Speed:Standard to enable Fast/Turbo field","","Ajustar Detención Rápida de Rodillos:Activado y Velocidad de Juego: Estándar para activar campos Rápido/Turbo","Defina a Parada Rápida dos Cilindros como Habilitada e a Velocidade do Jogo como Padrão para habilitar o campo Rápido/Turbo"
,,,
"STR_SHOW_GAME_RATING","Show Game Rating:","Показване на рейтинга на играта:","Mostrar Valoración de Juego:","Mostrar Classificação do Jogo:"
"STR_BET_BUTTONS_PLAY","Bet Buttons:","Бутони за залагане:","Botones de Apuesta:","Botões de Aposta:"
"STR_GAME_SELECT_MARKER","Game Select Marker:","Маркер за избор на игра:","Marcador de Selección de Juego:","Marcador de Seleção de Jogo:"
"STR_PRODUCT_TYPE","Product Type:","Тип на продукта:","Tipo de Producto:","Tipo de Produto:"
"STR_HIDE_PANEL_FIELDS","Panel Fields:","Полета на панела:","Campos del Panel:","Campos do Painel:"
"STR_THOUSAND_SEPARATOR","Thousand Separator:","Разделител за хилядни:","Separador de Miles:","Separador de Milhar:"
"STR_YES","Yes","Да","Sí","Sim"
"STR_NO","No","Не","No","Não"
"STR_PLAY","Play","Играй","Jugar","Jogar"
"STR_NOT_PLAY","Not Play","Не Играй","No Jugar","Não Jogar"
"STR_MULTI_GAME","Multi game","Мултигейм","Multijuego","Multijogo"
"STR_SINGLE_GAME","Single game","Сингългейм","Juego Sencillo","Jogo único"
"STR_ALWAYS_SHOW","Always Show","Показвай винаги","Mostrar Siempre","Mostrar Sempre"
"STR_SHOW_HIDE","Show/Hide","Покажи/Скрий","Mostrar/Ocultar","Mostrar/Ocultar"
